"Aaron Baddeley","Professional"
"Sang-moon Bae"," Professional"
"Thomas Bjorn"," Professional"
"Keegan Bradley"," Professional"
"Jonathan Byrd"," Professional"
"Angel Cabrera"," Professional"
"Patrick Cantlay"," Amateur"
"Paul Casey"," Professional"
"Kevin Chappell"," Professional"
"K.J. Choi"," Professional"
"Stewart Cink"," Professional"
"Tim Clark"," Professional"
"Darren Clarke"," Professional"
"Fred Couples"," Professional"
"Ben Crenshaw"," Professional"
"Jason Day"," Professional"
"Luke Donald"," Professional"
"Jason Dufner"," Professional"
"Simon Dyson"," Professional"
"Gonzalo Fernandez-Castano"," Professional"
"Ross Fisher"," Professional"
"Rickie Fowler"," Professional"
"Harrison Frazar"," Professional"
"Jim Furyk"," Professional"
"Sergio Garcia"," Professional"
"Robert Garrigus"," Professional"
"Lucas Glover"," Professional"
"Bill Haas"," Professional"
"Anders Hansen"," Professional"
"Peter Hanson"," Professional"
"Padraig Harrington"," Professional"
"Charles Howell III"," Professional"
"Trevor Immelman"," Professional"
"Fredrik Jacobson"," Professional"
"Miguel Angel Jimenez"," Professional"
"Dustin Johnson"," Professional"
"Zach Johnson"," Professional"
"Robert Karlsson"," Professional"
"Martin Kaymer"," Professional"
"Kyung-Tae Kim"," Professional"
"Kelly Kraft"," Amateur"
"Matt Kuchar"," Professional"
"Martin Laird"," Professional"
"Bernhard Langer"," Professional"
"Randal Lewis"," Amateur"
"Sandy Lyle"," Professional"
"Bryden Macpherson"," Amateur"
"Hunter Mahan"," Professional"
"Hideki Matsuyama"," Amateur"
"Graeme McDowell"," Professional"
"Rory McIlroy"," Professional"
"Phil Mickelson"," Professional"
"Corbin Mills"," Amateur"
"Larry Mize"," Professional"
"Edoardo Molinari"," Professional"
"Francesco Molinari"," Professional"
"Kevin Na"," Professional"
"Sean O'Hair"," Professional"
"Mark O'Meara"," Professional"
"Geoff Ogilvy"," Professional"
"Jose Maria Olazabal"," Professional"
"Louis Oosthuizen"," Professional"
"Ryan Palmer"," Professional"
"Ian Poulter"," Professional"
"Alvaro Quiros"," Professional"
"Chez Reavie"," Professional"
"Justin Rose"," Professional"
"Rory Sabbatini"," Professional"
"Charl Schwartzel"," Professional"
"Adam Scott"," Professional"
"John Senden"," Professional"
"Webb Simpson"," Professional"
"Vijay Singh"," Professional"
"Brandt Snedeker"," Professional"
"Craig Stadler"," Professional"
"Scott Stallings"," Professional"
"Brendan Steele"," Professional"
"Henrik Stenson"," Professional"
"Steve Stricker"," Professional"
"David Toms"," Professional"
"Bo Van Pelt"," Professional"
"Scott Verplank"," Professional"
"Johnson Wagner"," Professional"
"Nick Watney"," Professional"
"Bubba Watson"," Professional"
"Tom Watson"," Professional"
"Mike Weir"," Professional"
"Lee Westwood"," Professional"
"Mark Wilson"," Professional"
"Gary Woodland"," Professional"
"Tiger Woods"," Professional"
"Ian Woosnam"," Professional"
"Y.E. Yang"," Professional"
